ticker,signal_date,exit_date,closed,entry,exit,r0,R,move_pct,peak_pct,peak_R,held,r0_pct,er22,er55,fresh,dd_pct,hi_age,atr_pct,dev,selfvol,tier,mae_R,mae_low_R,mae_atr,mae_low_atr,breadth,regime
NTR,2022-02-09,2022-04-25,1,75.17,99.58,6.3246,3.86,32.47,52.32,6.219,51,8.414,0.24044587002878334,0.11905923374904352,1.089,2.93,30,2.735,1.7497287536982213,0.06537827415371433,mid,-0.281,-0.73,0.866,2.247,0.6557,bull
UBS,2022-02-09,2022-02-22,1,21.3,19.45,1.6712,-1.107,-8.69,0.0,0.0,8,7.846,0.3513510727029599,0.309002200488052,0.0,0.0,1,2.075,4.11536762181323,0.2934044873209549,mid,-1.107,-1.239,4.187,4.685,0.6557,bull
BHP,2022-02-10,2022-02-24,1,62.3907,56.6459,5.4339,-1.057,-9.21,0.0,0.0,9,8.709,0.30434794275886273,0.32824741664481505,0.0,0.0,2,2.336,2.2696868854889836,0.06257200106278105,mid,-1.057,-1.259,3.941,4.694,0.2951,bear
CF,2022-02-11,2022-06-08,1,76.74,89.84,13.8862,0.943,17.07,43.38,2.397,80,18.095,0.1808205789934908,0.1391578581000269,0.0,0.0,5,4.499,1.9000237821269885,0.27850732937393974,mid,-0.38,-0.705,1.529,2.836,0.3255,bear
CGAU,2022-02-11,2022-04-25,1,8.53,9.28,1.2086,0.621,8.79,22.27,1.572,49,14.169,0.08463930350117894,0.16414134678896894,0.282,1.06,27,3.743,1.1870112817370229,0.08315170508973146,mid,0.0,-0.149,0.0,0.564,0.3255,bear
OKE,2022-02-11,2022-04-25,1,64.51,66.3,6.4386,0.278,2.77,14.12,1.415,49,9.981,0.11540667747967898,0.010008006588522892,0.638,1.81,54,2.841,1.7956437834752874,0.07337667527382652,mid,-0.676,-0.82,2.374,2.881,0.3255,bear
SM,2022-02-11,2022-04-26,1,37.24,34.24,10.7538,-0.279,-8.06,14.07,0.487,50,28.877,0.12195129643772745,0.07855757612392957,0.0,0.0,19,6.417,1.265828780305918,0.11819274918596046,mid,-0.434,-0.531,1.954,2.389,0.3255,bear
TRP,2022-02-11,2022-04-26,1,52.48,55.04,3.6649,0.699,4.88,11.99,1.716,50,6.983,0.20977230729677182,0.1460505808316323,0.0,0.0,2,1.838,1.694237551985354,0.057312583355972,mid,-0.292,-0.398,1.109,1.514,0.3255,bear
WFRD,2022-02-11,2022-05-09,1,34.55,27.62,8.9159,-0.777,-20.06,12.82,0.497,59,25.806,0.20793856084419562,0.08409915010379124,0.0,0.0,2,5.735,1.7854260598382323,0.09840793258252312,mid,-0.777,-0.847,3.498,3.811,0.3255,bear
IAG,2022-02-14,2022-04-21,1,2.95,3.19,0.2615,0.918,8.14,25.76,2.907,46,8.863,0.037837808579745426,0.0642673386350913,2.203,10.0,55,4.924,2.447431789940264,0.06912596576116203,mid,-0.153,-0.688,0.275,1.239,0.2787,bear
OR,2022-02-14,2022-04-25,1,12.43,12.81,1.1538,0.329,3.06,16.33,1.759,48,9.282,0.06432745711440892,0.01815039121663531,1.138,3.48,55,3.111,2.544523363679477,0.08801012501695782,mid,-0.251,-0.468,0.75,1.396,0.2787,bear
AGRO,2022-02-15,2022-05-06,1,8.31,10.93,1.1325,2.313,31.53,58.24,4.274,56,13.628,0.2883897793225481,0.08847189853364895,0.0,0.0,10,3.323,1.783360381201162,-0.13500554206784532,strong,-0.026,-0.194,0.109,0.797,0.3255,bear
CLMT,2022-02-15,2022-04-04,1,16.77,12.98,3.9003,-0.972,-22.6,0.0,0.0,33,23.258,0.06155961639067513,0.026832204481238547,0.24,1.33,54,5.46,2.3628476126651914,-0.024827415847912593,mid,-0.972,-1.018,4.139,4.336,0.3255,bear
HWM,2022-02-16,2022-05-02,1,35.73,33.84,4.7193,-0.4,-5.29,4.45,0.337,51,13.208,0.056218036886882546,0.26827459595344794,0.0,0.0,22,3.213,2.513271932018383,0.08558765702482085,weak,-0.701,-0.716,2.884,2.944,0.3326,bear
PBA,2022-02-16,2022-04-22,1,33.59,38.52,2.4743,1.992,14.68,21.58,2.93,45,7.366,0.2041726289051596,0.19134390021313197,0.0,0.0,1,1.938,2.431153504579608,-0.016219410736214468,mid,-0.453,-0.614,1.72,2.334,0.3326,bear
LUNR,2022-02-17,2022-02-23,1,9.7,9.64,0.044,-1.363,-0.62,0.0,0.0,3,0.454,0.050001430519660106,0.0171826711630666,1.187,0.21,54,0.174,3.249287402751488,-0.15794098070045381,mid,-1.363,-1.817,3.561,4.748,0.2834,bear
RCAT,2022-02-17,2022-02-24,1,2.07,1.71,0.3813,-0.944,-17.39,0.0,0.0,4,18.421,0.12751674630621188,0.02066118592944229,1.865,11.79,44,6.992,1.868891521052988,-0.1973977204517573,mid,-0.944,-1.233,2.487,3.247,0.2834,bear
YPF,2022-02-22,2022-04-25,1,4.46,4.47,0.8321,0.012,0.22,19.06,1.022,43,18.656,0.24000006675721808,0.09433961075877648,0.0,0.0,3,4.646,1.5176422378077377,-0.015481097863800364,mid,-0.457,-0.493,1.834,1.978,0.2248,bear
