ticker,exchange,benchmark,major,sub
SPOT,NYSE,XLC,通讯服务,流媒体娱乐
UBER,NYSE,IYT,工业,铁路/联运
VST,NYSE,XLU,公用电力,电力
XEL,NASDAQ,XLU,公用电力,电力
F,NYSE,XLY,消费,可选消费
SPCX,NASDAQ,ITA,航空国防,航空航天国防
ARXS,NASDAQ,ITA,航空国防,航空航天国防
Q,NYSE,SOXX,半导体,半导体材料
ALAB,NASDAQ,SOXX,半导体,半导体
DIOD,NASDAQ,SOXX,半导体,半导体
IMOS,NASDAQ,SOXX,半导体,半导体
ENTG,NASDAQ,SOXX,半导体,半导体材料
KGS,NYSE,AMLP,油气,油气中游
OSCR,NYSE,XLV,医疗健康,健康保险
ALKS,NASDAQ,XBI,医疗健康,生物制药
VLTO,NYSE,XLI,工业,污水处理
LNT,NASDAQ,XLU,公用电力,天然气/电力
BUD,NYSE,XLP,消费,消费必需品
WAY,NASDAQ,IGV,软件,软件
ESE,NYSE,ITA,航空国防,航空航天国防
CBRS,NASDAQ,SOXX,半导体,半导体
GENB,NASDAQ,XBI,医疗健康,生物制药
WEN,NASDAQ,XLY,消费,餐饮
QLYS,NASDAQ,IGV,软件,软件
SNPS,NASDAQ,IGV,软件,软件
ANAB,NASDAQ,XBI,医疗健康,生物制药
SM,NYSE,XLE,油气,油气勘探开发
RTX,NYSE,ITA,航空国防,航空航天国防
LMT,NYSE,ITA,航空国防,航空航天国防
ASC,NYSE,SEA,航运,海运
GNK,NYSE,SEA,航运,海运
WFRD,NASDAQ,XLE,油气,油气设备服务
GRMN,NYSE,XLY,消费,可选消费
TFII,NYSE,IYT,工业,铁路/联运
WAB,NYSE,XLI,工业,工业机械
TNK,NYSE,SEA,航运,海运
DSX,NYSE,SEA,航运,海运
SHIP,NASDAQ,SEA,航运,海运
NVGS,NYSE,SEA,航运,海运
LPG,NYSE,SEA,航运,海运
FLNG,NYSE,SEA,航运,海运
NMM,NYSE,SEA,航运,海运
SFL,NYSE,SEA,航运,海运
SOLV,NYSE,IHI,医疗健康,医疗器械
HPQ,NYSE,XLK,科技硬件,硬件
SKHY,NASDAQ,SOXX,半导体,半导体
GSK,NYSE,XLV,医疗健康,制药
UL,NYSE,XLP,消费,消费必需品
KO,NYSE,XLP,消费,消费必需品
FTNT,NASDAQ,IGV,软件,网络安全
CORT,NASDAQ,XBI,医疗健康,生物制药
LRCX,NASDAQ,SOXX,半导体,半导体设备
AVTR,NYSE,XLV,医疗健康,生命科学工具
GEHC,NASDAQ,IHI,医疗健康,医疗器械
AR,NYSE,XLE,油气,油气勘探生产
EQIX,NASDAQ,DTCR,数据中心,数据中心
SONY,NYSE,XLY,消费,消费电子
NYT,NYSE,XLC,通讯服务,媒体出版
DBX,NASDAQ,IGV,软件,软件
MGY,NYSE,XLE,油气,油气勘探开发
JPM,NYSE,XLF,金融地产,银行
BAC,NYSE,XLF,金融地产,银行
GS,NYSE,XLF,金融地产,投行
MS,NYSE,XLF,金融地产,投行
SCHW,NYSE,XLF,金融地产,券商
V,NYSE,XLF,金融地产,支付
MA,NYSE,XLF,金融地产,支付
AXP,NYSE,XLF,金融地产,支付
PGR,NYSE,XLF,金融地产,保险
BLK,NYSE,XLF,金融地产,资管
KKR,NYSE,XLF,金融地产,私募股权
COIN,NASDAQ,XLF,金融地产,加密金融
PLD,NYSE,XLRE,金融地产,工业地产
AMT,NYSE,XLRE,金融地产,通信铁塔
SPG,NYSE,XLRE,金融地产,零售地产
HD,NYSE,XLY,消费,家居零售
MCD,NYSE,XLY,消费,餐饮
